WallTime,Step,Value
1649003875.2822945,15065,0.0
1649003877.907287,15070,0.0
1649003901.8234787,15110,3.0
1649003908.9748318,15124,1.0
1649003916.2547414,15138,1.0
1649003924.0903695,15153,1.0
1649003943.4040165,15185,2.0
1649003950.528817,15199,2.0
1649004024.4379427,15334,2.0
1649004044.7894187,15371,3.0
1649004108.6581898,15490,0.0
1649004174.5850673,15610,1.0
1649004189.2766361,15638,1.0
1649004253.7297127,15760,0.0
1649004273.1603146,15793,1.0
1649004429.1674535,16076,2.0
1649004450.411958,16117,1.0
1649004487.7676084,16185,0.0
1649004488.278929,16186,0.0
1649004517.9256532,16241,3.0
1649004558.555008,16313,0.0
1649004601.3115668,16392,1.0
1649004620.4162028,16427,0.0
1649004791.3152347,16731,2.0
1649004846.4439154,16834,3.0
1649004865.7704494,16866,0.0
1649004873.4646337,16880,0.0
1649004875.0524213,16883,0.0
1649004887.6432264,16907,2.0
1649004909.37801,16947,3.0
1649005001.3932362,17120,1.0
1649005004.5497692,17126,1.0
1649005005.0789263,17127,1.0
1649005079.152514,17263,1.0
1649005149.31531,17394,1.0
1649005169.1631258,17431,3.0
1649005238.8607244,17563,0.0
1649005277.752899,17632,2.0
1649005307.9064527,17688,0.0
1649005312.5597315,17697,0.0
1649005330.7672632,17731,0.0
1649005408.8850887,17881,1.0
1649005475.4604726,18005,2.0
1649005540.0806756,18121,0.0
1649005544.7306828,18129,0.0
1649005546.778073,18133,0.0
1649005548.8097086,18137,0.0
1649005696.77318,18405,0.0
1649005732.3659432,18468,0.0
1649005739.023009,18481,0.0
1649005744.0909388,18490,0.0
1649005760.7972405,18522,2.0
1649005891.2790594,18759,0.0
1649005894.3384957,18765,0.0
1649005903.3865051,18780,0.0
1649005911.8190725,18795,3.0
1649005969.9752698,18904,1.0
1649006085.671403,19109,0.0
1649006087.739968,19113,0.0
1649006139.6974957,19209,0.0
1649006199.6710415,19319,2.0
1649006230.9720414,19377,3.0
1649006246.9155188,19406,3.0
1649006254.3720496,19420,3.0
1649006300.3704395,19498,3.0
1649006302.0372615,19501,3.0
1649006326.1483989,19546,5.0
1649006363.3048933,19617,2.0
1649006485.009849,19841,4.0
1649006498.1290622,19861,2.0
1649006517.9037304,19895,0.0
1649006532.871331,19922,0.0
1649006568.4988322,19986,5.0
1649006576.3044624,19999,1.0
1649006769.5123136,20362,0.0
1649006786.525162,20394,0.0
1649006791.0974965,20403,0.0
1649006801.342689,20422,4.0
1649006810.7713885,20440,4.0
1649006838.965795,20493,0.0
1649006885.763784,20578,0.0
1649006887.287483,20581,0.0
1649006907.173823,20618,3.0
1649006921.8002553,20646,1.0
1649006931.0673668,20664,1.0
1649006932.0853655,20666,1.0
1649006982.6874204,20760,3.0
1649007025.2266648,20841,1.0
1649007085.305108,20951,0.0
1649007094.3767426,20968,0.0
1649007100.3284807,20979,4.0
1649007111.3015409,21000,1.0
1649007130.1827152,21036,0.0
1649007138.6577837,21052,0.0
1649007181.3673143,21129,0.0
1649007238.2138276,21233,1.0
1649007256.6222658,21267,1.0
1649007281.9000118,21311,1.0
1649007324.0557704,21390,0.0
1649007435.0068595,21582,2.0
1649007444.110278,21598,2.0
1649007487.2293506,21676,3.0
1649007488.2473745,21678,3.0
1649007717.3059754,22063,0.0
1649007730.6969748,22087,0.0
1649007763.900814,22146,0.0
1649007772.9104478,22162,1.0
1649007852.1002085,22307,2.0
1649007891.123226,22378,6.0
1649007892.4479232,22380,6.0
1649007913.1007512,22417,3.0
1649008071.8808124,22702,2.0
1649008101.6903696,22756,0.0
1649008115.3958492,22781,0.0
1649008198.10971,22921,0.0
1649008281.3282034,23071,0.0
1649008293.6630325,23094,0.0
1649008300.334345,23106,1.0
1649008428.0648746,23330,1.0
1649008469.8432517,23406,0.0
1649008470.350496,23407,0.0
1649008522.7847822,23500,3.0
1649008573.38492,23589,1.0
1649008574.3992696,23591,1.0
1649008603.9632676,23645,2.0
1649008605.802403,23648,2.0
1649008840.5868185,24070,12.0
1649009018.0590856,24378,0.0
1649009070.0175612,24469,2.0
1649009072.0491083,24473,2.0
1649009085.080387,24492,2.0
1649009148.1234753,24606,3.0
1649009203.5953734,24704,0.0
1649009210.7096841,24718,0.0
1649009235.2880921,24758,2.0
1649009274.9118252,24828,0.0
1649009282.826483,24843,0.0
1649009301.0048323,24875,0.0
1649009304.6921425,24882,0.0
1649009339.4432635,24938,0.0
1649009367.878249,24991,0.0
1649009404.4183893,25053,0.0
1649009438.2976813,25112,1.0
1649009515.3458512,25249,1.0
1649009603.1192205,25398,5.0
1649009631.7800925,25444,1.0
1649009755.5263498,25649,2.0
1649009786.2135122,25703,4.0
1649009793.2685163,25713,4.0
1649009794.2851975,25715,4.0
1649009819.7290998,25757,1.0
1649009911.2737324,25917,0.0
1649009918.4409487,25929,0.0
1649010023.477438,26106,4.0
1649010051.7306435,26153,4.0
1649010114.2827182,26263,2.0
1649010136.70042,26303,0.0
1649010176.93752,26377,1.0
1649010202.9721751,26421,3.0
1649010330.5746973,26646,0.0
1649010358.0362742,26693,1.0
1649010392.167405,26753,0.0
1649010426.4224007,26815,3.0
1649010426.971641,26816,3.0
1649010514.809247,26970,2.0
1649010543.2446046,27014,2.0
1649010551.415802,27029,0.0
1649010595.2900956,27104,1.0
1649010605.5727472,27123,1.0
1649010614.6208577,27140,2.0
1649010705.610194,27308,0.0
1649010737.862622,27367,1.0
1649010782.5852787,27445,0.0
1649010787.1525915,27454,0.0
1649010824.2444668,27521,2.0
1649010832.9873424,27537,2.0
1649010880.797148,27626,1.0
1649010894.6474922,27651,0.0
1649010978.2338,27792,0.0
1649011000.7112207,27833,1.0
1649011032.6970713,27894,1.0
1649011093.1481366,28006,0.0
1649011116.3272583,28045,2.0
1649011147.8852277,28102,3.0
1649011286.5435617,28363,1.0
1649011335.626278,28452,0.0
1649011341.8970337,28460,0.0
1649011370.573418,28515,0.0
1649011426.7045617,28615,2.0
1649011524.8654032,28794,1.0
1649011558.0890117,28854,3.0
1649011573.049749,28882,0.0
1649011620.6038423,28972,2.0
1649011626.95836,28984,2.0
1649011702.0381567,29126,1.0
1649011773.6860938,29259,4.0
1649011801.8450565,29310,0.0
1649011851.0871534,29404,2.0
1649011865.5820198,29431,2.0
1649011899.2475772,29490,1.0
1649011938.8022041,29565,1.0
1649011967.8348293,29620,4.0
1649011976.2828195,29636,4.0
1649011994.4979413,29671,0.0
1649011997.7050664,29677,0.0
1649012053.4475033,29784,1.0
1649012065.6509209,29808,2.0
1649012077.7726727,29831,1.0
1649012086.410006,29848,0.0
1649012102.742178,29874,5.0
1649012154.8688254,29974,3.0
1649012167.5786774,29999,2.0
1649012196.3746965,30055,0.0
1649012202.474849,30067,1.0
1649012209.429834,30080,1.0
1649012306.885034,30256,2.0
1649012308.9163246,30260,2.0
1649012332.0870636,30300,0.0
1649012349.1572244,30333,0.0
1649012358.8493161,30349,0.0
1649012544.2283554,30703,1.0
1649012572.365007,30751,2.0
1649012646.2490294,30892,0.0
1649012660.186732,30919,0.0
1649012680.6549017,30959,0.0
1649012685.0513995,30967,0.0
1649012707.173099,31006,2.0
1649012838.6189713,31244,0.0
1649012875.3162441,31314,1.0
1649012907.375057,31376,2.0
1649012925.0847468,31410,4.0
1649012957.4631474,31469,0.0
1649013029.1461868,31607,2.0
1649013040.3624935,31629,1.0
1649013057.6752074,31660,1.0
1649013076.4782927,31696,0.0
1649013078.512474,31700,0.0
1649013082.5926936,31708,0.0
1649013190.5238519,31902,0.0
1649013198.7971451,31918,0.0
1649013205.9191172,31932,0.0
